iter	Logloss
0	0.685020337
1	0.6766394181
2	0.6632115005
3	0.6539831206
4	0.6490359948
5	0.6406583637
6	0.6336285735
7	0.6232105767
8	0.6181274313
9	0.6125204088
10	0.6102011547
11	0.5976438909
12	0.5919261693
13	0.5902122852
14	0.584148933
15	0.5771619716
16	0.5704077765
17	0.5625265531
18	0.5555465978
19	0.551546076
20	0.5453031998
21	0.5411482269
22	0.5407603411
23	0.533374481
24	0.5292320543
25	0.5270044293
26	0.5216736197
27	0.5148723951
28	0.5113029026
29	0.506318723
30	0.500948763
31	0.4953101128
32	0.4908916972
33	0.4876107928
34	0.4869549826
35	0.4835794389
36	0.480889154
37	0.4764327848
38	0.4731811294
39	0.4673802527
40	0.4656687713
41	0.4625013975
42	0.4580997443
43	0.4555191992
44	0.4514712261
45	0.443186971
46	0.439000031
47	0.4361536677
48	0.4316359347
49	0.4311362646
50	0.4273924182
51	0.420853867
52	0.4178925937
53	0.4156249642
54	0.412540769
55	0.40944386
56	0.4028312899
57	0.3981922529
58	0.3928745306
59	0.3902579474
60	0.3858921945
61	0.3828211031
62	0.3793460133
63	0.3749698008
64	0.371926515
65	0.3670893881
66	0.3637692016
67	0.3605974903
68	0.3572102979
69	0.3542382773
70	0.3516373498
71	0.3482136421
72	0.3449829226
73	0.3425589525
74	0.3370091692
75	0.334791125
76	0.3318494671
77	0.3296655108
78	0.3286311454
79	0.3236454697
80	0.3196419952
81	0.3167766119
82	0.313621035
83	0.3105555593
84	0.307642454
85	0.3034630095
86	0.3017082693
87	0.2997433631
88	0.2938150513
89	0.2907507159
90	0.2862111682
91	0.2839253673
92	0.2811673149
93	0.2784158837
94	0.2752937926
95	0.2728588882
96	0.2681264863
97	0.2645097783
98	0.2612057919
99	0.259857457
