iter	Logloss
0	0.676538053
1	0.6659540196
2	0.652573532
3	0.6388184194
4	0.6290736259
5	0.6202218772
6	0.6080990008
7	0.5989722516
8	0.5911836181
9	0.5794196092
10	0.57214238
11	0.5654972365
12	0.5607328584
13	0.5514546443
14	0.5448145844
15	0.5385532835
16	0.5284097629
17	0.5236734606
18	0.5199262927
19	0.5163506253
20	0.5101311749
21	0.5073328081
22	0.503354499
23	0.4969248678
24	0.4924812535
25	0.4871218846
26	0.4818292978
27	0.4749962788
28	0.4706028841
29	0.4677859541
30	0.4602395454
31	0.4563309452
32	0.449469272
33	0.4415436487
34	0.4350525825
35	0.4288915335
36	0.4220135022
37	0.4180367413
38	0.4145730014
39	0.4115774202
40	0.4024115468
41	0.3965442777
42	0.3914954948
43	0.3887220486
44	0.3841631679
45	0.3794093511
46	0.3770741061
47	0.3738885032
48	0.3719567713
49	0.3690176957
50	0.3654582161
51	0.3625537273
52	0.3568247501
53	0.3545795596
54	0.3518925348
55	0.34496216
56	0.3410026632
57	0.3407446773
58	0.334906362
59	0.3305563756
60	0.3264977353
61	0.321886569
62	0.3180271101
63	0.3128624778
64	0.3069324453
65	0.3031089045
66	0.2979516557
67	0.2936053111
68	0.2864433876
69	0.2828304165
70	0.2810122874
71	0.2762835141
72	0.2729186063
73	0.2709682806
74	0.2654682472
75	0.2632332106
76	0.2586195865
77	0.2558342057
78	0.248680686
79	0.2449476655
80	0.240606897
81	0.2385214738
82	0.2335129813
83	0.2314328611
84	0.2289542189
85	0.2242489815
86	0.2201140192
87	0.2180978857
88	0.2158133648
89	0.2124238923
90	0.2101388923
91	0.2072455734
92	0.2034680603
93	0.2018981941
94	0.2000961905
95	0.1989015379
96	0.1956063862
97	0.1912224748
98	0.1886630529
99	0.1852762467
