iter	Logloss
0	0.6873667311
1	0.6813540399
2	0.6716138503
3	0.6647915844
4	0.6600735598
5	0.6555898834
6	0.6475912642
7	0.6394915392
8	0.6355212911
9	0.6299470559
10	0.6252365465
11	0.6196978315
12	0.6141049662
13	0.6091481914
14	0.6046153937
15	0.6038655053
16	0.6016591788
17	0.5971416272
18	0.5908086427
19	0.5864031084
20	0.5829260034
21	0.5789096825
22	0.5763644809
23	0.5736645463
24	0.5688233745
25	0.5614988736
26	0.5591260565
27	0.5561656892
28	0.5509021372
29	0.5487492243
30	0.5445680013
31	0.5411144663
32	0.5368173416
33	0.5300403355
34	0.5262019596
35	0.5225713098
36	0.5192424951
37	0.514953649
38	0.5143207152
39	0.5080398182
40	0.5076987207
41	0.5044206418
42	0.5015678573
43	0.4976786666
44	0.492031788
45	0.4892981055
46	0.4867940037
47	0.4834267902
48	0.4808682802
49	0.4785413826
50	0.4742978121
51	0.4726051445
52	0.4724248639
53	0.4698287837
54	0.4673991522
55	0.4654712633
56	0.4647359789
57	0.4631969186
58	0.4606751457
59	0.458411283
60	0.4542213982
61	0.4525327368
62	0.4487016775
63	0.4442512505
64	0.4411923697
65	0.4359223744
66	0.4343679094
67	0.4307693501
68	0.4283639744
69	0.4254819482
70	0.4253004015
71	0.4215571272
72	0.4176217941
73	0.4155693048
74	0.4114065814
75	0.407625653
76	0.4030332633
77	0.400460596
78	0.3985884702
79	0.3970590369
80	0.3933797663
81	0.3914445117
82	0.3889955244
83	0.3868816808
84	0.3850267443
85	0.3828363328
86	0.3798650148
87	0.3770311658
88	0.3764961608
89	0.3740872225
90	0.37215051
91	0.3709228826
92	0.3672419483
93	0.3644074621
94	0.3601209757
95	0.359104744
96	0.356615216
97	0.3540578575
98	0.3523716627
99	0.3500709648
