iter	Logloss
0	0.6778750157
1	0.6680164726
2	0.6503705775
3	0.6309987223
4	0.6186210603
5	0.6082926864
6	0.5984334432
7	0.5919746452
8	0.573638804
9	0.5636823481
10	0.556786239
11	0.5477475221
12	0.5365728214
13	0.5266378838
14	0.521309662
15	0.5141342917
16	0.5086944401
17	0.5049056877
18	0.4941164802
19	0.4881975406
20	0.4719433501
21	0.4642629429
22	0.457493613
23	0.451580043
24	0.4459297219
25	0.4386071407
26	0.4273474598
27	0.4239422186
28	0.4203397525
29	0.4132280503
30	0.4081889526
31	0.4047581886
32	0.3974699478
33	0.3933345793
34	0.3864704544
35	0.380962193
36	0.3752962221
37	0.3714455289
38	0.3678164889
39	0.3617623532
40	0.357488589
41	0.3550780489
42	0.3488129839
43	0.3456871209
44	0.3413517586
45	0.3344788347
46	0.3281486847
47	0.3244306522
48	0.3213948251
49	0.3171384438
50	0.3153901688
51	0.3125407976
52	0.3086622826
53	0.3057219933
54	0.3007191094
55	0.2946160492
56	0.2895128978
57	0.2856810236
58	0.279890876
59	0.2759943283
60	0.271300149
61	0.2665261469
62	0.2648138321
63	0.2615183578
64	0.2591376267
65	0.2559691256
66	0.2521702547
67	0.2498982231
68	0.2472830291
69	0.2449794328
70	0.2423686166
71	0.2366701721
72	0.2347799361
73	0.2301303926
74	0.2267329344
75	0.222924882
76	0.2198410545
77	0.2171239143
78	0.2128294893
79	0.2092029059
80	0.2082216013
81	0.2048023455
82	0.2018821956
83	0.1978234523
84	0.1940538463
85	0.1900206415
86	0.187438286
87	0.1842814161
88	0.1813045426
89	0.1762489446
90	0.1727837291
91	0.1696171273
92	0.1665001973
93	0.1637126259
94	0.1597837142
95	0.1567279036
96	0.1538233058
97	0.1508730347
98	0.1488462767
99	0.1472799536
