iter	Logloss
0	0.6795748686
1	0.6655691172
2	0.6505240434
3	0.6406252383
4	0.6281053238
5	0.6173913623
6	0.6049438817
7	0.5956361192
8	0.5823724504
9	0.5709774721
10	0.5629336083
11	0.556512658
12	0.5511381111
13	0.5442982842
14	0.5397182546
15	0.5309416465
16	0.5268089477
17	0.5192731003
18	0.5098243847
19	0.5036703923
20	0.4982520329
21	0.4907949434
22	0.4847443514
23	0.4797429444
24	0.4718907712
25	0.4667230267
26	0.4606458815
27	0.4519904702
28	0.4471242309
29	0.4396298365
30	0.4372052584
31	0.4309228402
32	0.4259246493
33	0.4226600911
34	0.418073791
35	0.4146912257
36	0.4044888428
37	0.3971255633
38	0.3924874734
39	0.388582022
40	0.3850783983
41	0.3779861784
42	0.3758109809
43	0.3723079731
44	0.3704063094
45	0.3683175257
46	0.3645760115
47	0.3618029968
48	0.356041519
49	0.3518972665
50	0.3507210831
51	0.3449173938
52	0.3395874233
53	0.3349515912
54	0.3314064944
55	0.3276012189
56	0.3263260337
57	0.3223243409
58	0.3179487529
59	0.3133835169
60	0.3098335659
61	0.308076403
62	0.304218074
63	0.2979322636
64	0.295703861
65	0.2882326459
66	0.2845432348
67	0.2784264018
68	0.2735994473
69	0.2707210383
70	0.2651694649
71	0.2605748746
72	0.2577168492
73	0.2542058992
74	0.2512279439
75	0.2485102127
76	0.2434449393
77	0.2396641017
78	0.2352154281
79	0.2309883985
80	0.2268457385
81	0.2235641869
82	0.2197142346
83	0.2159886126
84	0.2139358838
85	0.2097328082
86	0.204795331
87	0.2018597108
88	0.199673165
89	0.1951387154
90	0.1916282061
91	0.1882627729
92	0.183646641
93	0.180681867
94	0.1768782181
95	0.1739325878
96	0.171021934
97	0.1676664648
98	0.1629199697
99	0.1601366257
