iter	Logloss
0	0.679312683
1	0.6604707269
2	0.6516126318
3	0.6402534962
4	0.6298702617
5	0.6118271097
6	0.6041743643
7	0.5951507547
8	0.5856819952
9	0.5793511116
10	0.5683314259
11	0.5630039094
12	0.5512727546
13	0.5448049961
14	0.5398972362
15	0.5372471338
16	0.5329456684
17	0.5251723467
18	0.5151853606
19	0.5076425105
20	0.5006325252
21	0.4961898562
22	0.4912133956
23	0.4843196269
24	0.478257956
25	0.470956924
26	0.4675679903
27	0.4570824349
28	0.4502352454
29	0.4436036078
30	0.4387013547
31	0.4318834642
32	0.4290330697
33	0.4230929633
34	0.4164280359
35	0.4108487851
36	0.4050058939
37	0.3998290644
38	0.3968620913
39	0.3945132176
40	0.3927511005
41	0.391011708
42	0.3879424413
43	0.3848604952
44	0.3806669264
45	0.3765229547
46	0.3740977519
47	0.3695443521
48	0.3670859688
49	0.3622194444
50	0.3568970002
51	0.3552992379
52	0.3548035892
53	0.3501775971
54	0.3487679024
55	0.3452890059
56	0.3427532415
57	0.3362146225
58	0.3338522339
59	0.3290108735
60	0.3253767288
61	0.322857797
62	0.3204571288
63	0.3134630295
64	0.3090436617
65	0.3061438911
66	0.3039142146
67	0.2987131831
68	0.2963787634
69	0.2950723629
70	0.2926397854
71	0.2882816686
72	0.2829725772
73	0.2801359462
74	0.2764275502
75	0.2700067324
76	0.2690107207
77	0.2627928255
78	0.2586250909
79	0.2546971182
80	0.2521532302
81	0.2484605931
82	0.2429495677
83	0.2415027478
84	0.2381348145
85	0.2332534545
86	0.2292022955
87	0.2263351863
88	0.2242491072
89	0.2200239339
90	0.2165034162
91	0.2133299918
92	0.211883028
93	0.2073524957
94	0.2048239723
95	0.2016965113
96	0.1991916351
97	0.1944222812
98	0.19122498
99	0.1887732256
