iter	Passed	Remaining
455	821	18057
456	823	18058
457	824	18055
458	826	18053
459	828	18049
460	829	18043
461	831	18035
462	833	18032
463	835	18042
464	837	18053
465	840	18073
466	844	18103
467	847	18138
468	850	18164
469	852	18165
470	854	18173
471	856	18173
472	858	18169
473	860	18167
474	861	18159
475	863	18156
476	865	18167
477	867	18165
478	870	18173
479	871	18173
480	873	18175
481	875	18165
482	876	18158
483	878	18151
484	880	18151
485	882	18156
486	884	18155
487	886	18153
488	888	18150
489	889	18147
490	891	18143
491	893	18138
492	894	18133
493	896	18129
494	898	18123
495	899	18119
496	901	18115
497	903	18117
498	905	18114
499	906	18110
500	908	18103
501	909	18094
502	911	18083
503	912	18077
504	915	18086
505	917	18093
506	919	18095
507	921	18094
508	923	18097
509	925	18099
510	927	18094
511	929	18095
512	931	18095
513	933	18102
514	935	18107
515	937	18109
516	939	18104
517	940	18098
518	942	18097
519	944	18097
520	946	18097
521	948	18109
522	951	18120
523	953	18121
524	967	18352
525	969	18353
526	971	18352
527	973	18348
528	974	18347
529	977	18350
530	979	18366
531	982	18383
532	985	18396
533	987	18407
534	989	18405
535	991	18402
536	993	18400
537	995	18408
538	998	18421
539	1000	18425
540	1002	18421
541	1004	18418
542	1006	18425
543	1008	18421
544	1010	18432
545	1012	18435
546	1014	18432
547	1016	18438
548	1019	18444
549	1021	18452
550	1024	18460
551	1026	18466
552	1028	18478
553	1031	18491
554	1033	18493
555	1036	18504
556	1038	18507
557	1040	18507
558	1042	18506
559	1044	18502
560	1045	18499
561	1048	18507
562	1050	18515
563	1053	18532
564	1055	18538
565	1058	18547
566	1060	18546
567	1062	18547
568	1064	18555
569	1067	18573
570	1069	18574
571	1071	18573
572	1073	18572
573	1075	18576
574	1078	18578
575	1079	18574
576	1081	18573
577	1084	18582
578	1086	18591
579	1089	18602
580	1091	18609
581	1093	18609
582	1095	18609
583	1097	18611
584	1099	18609
585	1101	18603
586	1103	18598
587	1104	18593
588	1106	18595
589	1108	18593
590	1110	18591
591	1112	18585
592	1114	18583
593	1116	18586
594	1118	18591
595	1120	18582
596	1121	18576
597	1123	18577
598	1125	18571
599	1127	18570
600	1129	18568
601	1130	18562
602	1132	18559
603	1134	18552
604	1135	18546
605	1138	18554
606	1141	18568
607	1143	18578
608	1145	18580
609	1147	18579
610	1149	18577
611	1151	18575
612	1153	18573
613	1155	18573
614	1157	18573
615	1159	18573
616	1161	18576
617	1163	18577
618	1165	18572
619	1167	18568
620	1169	18569
621	1170	18561
622	1172	18557
623	1174	18556
624	1176	18553
625	1178	18554
626	1180	18556
627	1181	18547
628	1183	18541
629	1185	18539
630	1187	18537
631	1188	18534
632	1190	18527
633	1192	18522
634	1193	18514
635	1195	18506
636	1196	18500
637	1198	18503
638	1201	18508
639	1203	18509
640	1205	18509
641	1207	18507
642	1209	18503
643	1210	18502
644	1212	18491
645	1213	18483
646	1215	18477
647	1216	18468
648	1218	18458
649	1220	18459
650	1221	18456
651	1223	18455
652	1225	18451
653	1227	18447
654	1229	18445
655	1230	18437
656	1232	18430
657	1233	18420
658	1235	18415
659	1236	18407
660	1238	18398
661	1239	18392
662	1241	18391
663	1242	18381
664	1244	18374
665	1246	18369
666	1247	18363
667	1249	18357
